artist_id,tag_id,tag_name,target_post_count,total_post_count,avg_score,avg_fav_count,ratio
218504,1873662,illu_(illu_stratos),23,114,45.9565217391304348,43.5217391304347826,0.20175438596491227
145130,1633613,nyong_nyong,133,664,32.443609022556391,31.6315789473684211,0.2003012048192771
198726,1575666,squeezable_(artist),79,396,236.5569620253164557,303.2405063291139241,0.1994949494949495
163908,1459757,seraziel,184,931,123.9619565217391304,133.9565217391304348,0.19763694951664876
22420,1031152,tsudero,28,143,57.5714285714285714,65.9642857142857143,0.1958041958041958
94230,577349,born-to-die,111,574,61.5045045045045045,61.8828828828828829,0.19337979094076654
160178,1781121,aleriia_v,60,312,133.8,216.55,0.19230769230769232
143091,1356421,blue-senpai,72,375,166.9583333333333333,257.5694444444444444,0.192
241731,1552894,xiaoxi0619,91,474,90.7692307692307692,145.9010989010989011,0.19198312236286919
147754,1405522,nanoless,137,719,163.0072992700729927,270.5182481751824818,0.1905424200278164
47917,1374427,lambda_(kusowarota),150,789,106.4066666666666667,170.1,0.19011406844106463
93632,846470,greenmarine,52,275,47.5,81.3846153846153846,0.1890909090909091
87055,711815,nekono_rin,45,238,85.3777777777777778,80.3555555555555556,0.18907563025210083
46794,550646,doyora,40,212,106.725,177.1,0.18867924528301888
138487,1380051,kakure_eria,122,651,153.3278688524590164,177.4918032786885246,0.18740399385560677
129352,1350821,bakugadou,67,358,36.7313432835820896,61,0.1871508379888268
236421,1661246,yuio58ok,32,173,95.25,93.09375,0.18497109826589594
100374,1249089,jiffic,46,250,64,92.6521739130434783,0.184
176421,1757104,meolucky147,19,104,65.7894736842105263,95.1052631578947368,0.18269230769230768
130009,1691121,iwbitu,133,736,161.3157894736842105,229.4661654135338346,0.18070652173913043
171886,2004605,mmmalice,18,101,133.6111111111111111,138.0555555555555556,0.1782178217821782
255758,1710442,pongldr,22,124,98.7727272727272727,95.5909090909090909,0.1774193548387097
169910,1476874,kinkymation,164,930,128.6524390243902439,147.0914634146341463,0.17634408602150536
205807,1538421,chikaretsu,54,307,174.0740740740740741,191.962962962962963,0.1758957654723127
96439,1237359,shoujo_donburi,34,195,24.9411764705882353,46.5882352941176471,0.17435897435897435
131096,1356753,burbur,42,243,28.8571428571428571,43.5952380952380952,0.1728395061728395
52029,569182,incase,44,257,139.8181818181818182,202.5454545454545455,0.17120622568093385
30918,491816,man_(man-room),26,154,43.6153846153846154,78.0769230769230769,0.16883116883116883
128816,1431375,limgae,60,356,116.05,208.4333333333333333,0.16853932584269662
162291,1456455,luminyu,57,340,183.912280701754386,206.1052631578947368,0.1676470588235294
145080,1397738,capitan_(tsyoujo),24,144,30.25,36.375,0.16666666666666666
213809,1598431,cafin,23,139,114,111.2608695652173913,0.16546762589928057
140816,1386116,eymbee,22,133,121.2272727272727273,172.9090909090909091,0.16541353383458646
96059,1236086,gray_bear,18,109,132.3888888888888889,242.9444444444444444,0.1651376146788991
158899,1429074,pudgeruffian,50,306,184.04,231.44,0.16339869281045752
114991,1277430,dannex009,73,448,122.3835616438356164,221.9452054794520548,0.16294642857142858
204673,1626304,shuuko_(s_h_uuko),58,357,180.3620689655172414,195.9310344827586207,0.16246498599439776
79262,678046,deathalice,22,136,146.3636363636363636,275.6363636363636364,0.16176470588235295
108375,1510597,bigdead,49,303,15.2448979591836735,31.2653061224489796,0.1617161716171617
214722,1601003,malberrybush,21,130,131.7619047619047619,152.4285714285714286,0.16153846153846155
122631,1327406,qm,22,137,40.7272727272727273,45.3181818181818182,0.16058394160583941
176183,1494026,kinhasu,35,220,119.0857142857142857,224.6857142857142857,0.1590909090909091
165855,1466007,sakutaishi,20,126,70.75,77.6,0.15873015873015872
149842,1412210,batazungharn,17,108,51.1764705882352941,52.2941176470588235,0.1574074074074074
140850,1386284,firolian,29,185,103.8620689655172414,142.5517241379310345,0.15675675675675677
200329,1560333,blinkblink_art,18,115,119.6111111111111111,155.7777777777777778,0.1565217391304348
192961,1540582,aldharoku,20,128,23.95,26.75,0.15625
102629,1257503,oxxo_(dlengur),23,148,246.4347826086956522,437.1739130434782609,0.1554054054054054
164227,1622051,ni_(221),39,253,73.4615384615384615,79,0.1541501976284585
17487,437592,sayika,24,159,146.1666666666666667,300.6666666666666667,0.1509433962264151
111571,1286840,kuon_(kwonchanji),33,220,78.3333333333333333,155.8181818181818182,0.15
65246,620931,dagasi,94,630,42.4042553191489362,41.925531914893617,0.1492063492063492
124803,1335580,cyancapsule,49,330,47.6938775510204082,60.2448979591836735,0.1484848484848485
158925,1351716,eigaka,16,108,72.375,112.3125,0.14814814814814814
79346,678489,hsuliherng,16,108,72.125,109.625,0.14814814814814814
179396,1438033,ingi,16,109,21.6875,19.625,0.14678899082568808
78153,673321,hayyan,22,150,94.1363636363636364,113.7272727272727273,0.14666666666666667
207429,1840308,ikaheigen,22,150,9,8.6818181818181818,0.14666666666666667
4941,533960,abubu,123,839,88.5691056910569106,106.8373983739837398,0.1466030989272944
37344,1768028,kinomiki_nobori,30,205,32.3333333333333333,31.9666666666666667,0.14634146341463414
224630,1631964,alten,15,103,221.8666666666666667,212.6,0.14563106796116504
118516,1376072,casino_(casinoep),100,690,135.7,130.43,0.14492753623188406
